sr,title,link,guid,latitude,longitude,gid,monumentna,descriptio,location,district,state,asicircle,photo,mon_num,pb_name
10,monuments2.fid-3f3c22b6_1667d4434db_44c8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c8,28.55339,77.201352,11306,Sakri Gumti-284,Sakri Gumti-284,Hauz Khas  Enclave near Green Park,South,Delhi,Delhi Circle,DELDL085.JPG,DELDL085,DL085
11,monuments2.fid-3f3c22b6_1667d4434db_44c9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c9,28.572672,77.222978,11307,"Tomb of Mubarik Shah in Mubarikpur, Kotla","Tomb of Mubarik Shah in Mubarikpur, Kotla",Kotla Mubrakpur Village,South,Delhi,Delhi Circle,DELDL106.JPG,DELDL106,DL106
12,monuments2.fid-3f3c22b6_1667d4434db_44ca,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44ca,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44ca,28.660572,77.24339,11308,"Salimgarh Fort, comprising the main gate on North, Ancient structure near the main gate and the entire fortification wall","Salimgarh Fort, comprising the main gate on North, Ancient structure near the main gate and the entire fortification wall",Red Fort,Central,Delhi,Delhi Circle,DELDL168.JPG,DELDL168,DL168
13,monuments2.fid-3f3c22b6_1667d4434db_44cb,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44cb,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44cb,28.597956,77.243958,11309,Lakhar wala Gumbad (Tomb),Lakhar wala Gumbad (Tomb),Near HumayunΓÇÖs Tomb,South East,Delhi,Delhi Circle,DELDL068.JPG,DELDL068,DL068
14,monuments2.fid-3f3c22b6_1667d4434db_44cc,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44cc,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44cc,28.596047,77.245409,11310,Sunderwala Burj,Sunderwala Burj,Near HumayunΓÇÖs Tomb,South East,Delhi,Delhi Circle,DELDL069.JPG,DELDL069,DL069
15,monuments2.fid-3f3c22b6_1667d4434db_44cd,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44cd,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44cd,28.596109,77.246537,11311,Sunderwala Mahal,Sunderwala Mahal,Near HumayunΓÇÖs Tomb,South East,Delhi,Delhi Circle,DELDL070.JPG,DELDL070,DL070
16,monuments2.fid-3f3c22b6_1667d4434db_44ce,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44ce,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44ce,28.595797,77.249008,11312,"Tomb of Mirza Muzaffer,  Bara Batasha","Tomb of Mirza Muzaffer,  Bara Batasha",Nizamuddin,South East,Delhi,Delhi Circle,DELDL057.JPG,DELDL057,DL057
17,monuments2.fid-3f3c22b6_1667d4434db_44cf,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44cf,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44cf,28.595969,77.249729,11313,"Tomb of Mirza Muzaffer, Chota Batasha","Tomb of Mirza Muzaffer, Chota Batasha",Nizamuddin,South East,Delhi,Delhi Circle,DELDL055.JPG,DELDL055,DL055
18,monuments2.fid-3f3c22b6_1667d4434db_44d0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d0,28.595861,77.250536,11314,Unknown tomb,Unknown tomb,Nizamuddin,South East,Delhi,Delhi Circle,DELDL059.JPG,DELDL059,DL059
19,monuments2.fid-3f3c22b6_1667d4434db_44d1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d1,28.645676,77.222052,12070,Tomb of Ghaziuddin Khan,Tomb of Ghaziuddin Khan,"Ajmeri Gate, Paharganj",Central,Delhi,Delhi Mini Circle,DLMDL047.jpg,DLMDL047,DLM047
20,monuments2.fid-3f3c22b6_1667d4434db_44d2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d2,28.641172,77.240549,12071,Delhi Gate,Delhi Gate,Daryaganj,Central,Delhi,Delhi Mini Circle,DLMDL019.jpg,DLMDL019,DLM019
21,monuments2.fid-3f3c22b6_1667d4434db_44d3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d3,28.646248,77.223984,12072,Ajmeri Gate,Ajmeri Gate,Bazar Ajmeri Gate,Central,Delhi,Delhi Mini Circle,DLMDL012.jpg,DLMDL012,DLM012
22,monuments2.fid-3f3c22b6_1667d4434db_44d4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d4,28.673858,77.211841,12073,Ashokan Pillar South of Hindu Rao Hospital,Ashokan Pillar South of Hindu Rao Hospital,On the ridge between Hindu Rao Hospital,North,Delhi,Delhi Mini Circle,DLMDL164.jpg,DLMDL164,DLM164
23,monuments2.fid-3f3c22b6_1667d4434db_44d5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d5,28.670868,77.228597,12074,The Old Entrance Gateway of the Garden,The Old Entrance Gateway of the Garden,Qudsia Delhi Opposite ISBT,North,Delhi,Delhi Mini Circle,DLMDL033.jpg,DLMDL033,DLM033
24,monuments2.fid-3f3c22b6_1667d4434db_44d6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d6,28.661238,77.218474,12075,Portion of City Wall near which Brigadier General Jhon Nicholson was mortally wounded on 14th Sept. 1857,Portion of City Wall near which Brigadier General Jhon Nicholson was mortally wounded on 14th Sept. 1857,Near Kashmieri Gate,North,Delhi,Delhi Mini Circle,DLMDL035.jpg,DLMDL035,DLM035
25,monuments2.fid-3f3c22b6_1667d4434db_44d7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d7,28.600364,77.238299,12076,Lal Bangla,Lal Bangla,Badarpur,South East,Delhi,Delhi Mini Circle,DLMDL004.jpg,DLMDL004,DLM004
26,monuments2.fid-3f3c22b6_1667d4434db_44d8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d8,10.44483,78.717785,12506,Dolmens in annavasal vattam,Dolmens in annavasal vattam,Sittannavasal,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN123.JPG,CHETN123C,CHE_123C
27,monuments2.fid-3f3c22b6_1667d4434db_44d9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44d9,10.447881,78.718752,12507,Dolmens in annavasal vattam,Dolmens in annavasal vattam,Sittannavasal,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN123.JPG,CHETN123A,CHE_123A
28,monuments2.fid-3f3c22b6_1667d4434db_44da,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44da,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44da,8.628476,77.871447,12508,Prehistoric site,Prehistoric site,Karungulam,Turicorin,Tamil Nadu,Chennai Circle,CHETN155.JPG,CHETN155,CHE_154
29,monuments2.fid-3f3c22b6_1667d4434db_44db,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44db,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44db,12.538223,78.212724,12509,Hill Fort,Hill Fort,Krishnagiri,Krishnagiri,Tamil Nadu,Chennai Circle,CHETN179.JPG,CHETN179,CHE_179
30,monuments2.fid-3f3c22b6_1667d4434db_44dc,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44dc,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44dc,10.505148,78.756336,12510,Rock-cut Vishnu shrine called Samanar Kudagu with structural moulded plinth in front,Rock-cut Vishnu shrine called Samanar Kudagu with structural moulded plinth in front,Narthamalai,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN277.JPG,CHETN277,CHE_278
31,monuments2.fid-3f3c22b6_1667d4434db_44dd,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44dd,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44dd,10.513097,78.767245,12511,Amman Kovil,Amman Kovil,Narthamalai,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN275.JPG,CHETN275,CHE_275
32,monuments2.fid-3f3c22b6_1667d4434db_44de,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44de,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44de,10.513479,78.767462,12512,Rock-cut Siva Temple called Paliyili Iswaran with structuralmoulded plinth in front,Rock-cut Siva Temple called Paliyili Iswaran with structuralmoulded plinth in front,Narthamalai,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN276.JPG,CHETN276,CHE_275
33,monuments2.fid-3f3c22b6_1667d4434db_44df,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44df,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44df,13.480594,80.000806,12488,Megalithic cists and cairns,Megalithic cists and cairns,Pondavakkam,Tiruvallur,Tamil Nadu,Chennai Circle,CHETN139.JPG,CHETN139,CHE_139
34,monuments2.fid-3f3c22b6_1667d4434db_44e0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e0,10.579191,78.80644,12513,"Jain idol, two Durga idols, one Vishnu idol and inscribed stone slab","Jain idol, two Durga idols, one Vishnu idol and inscribed stone slab",Nanjur,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN274.JPG,CHETN274,CHE_274
35,monuments2.fid-3f3c22b6_1667d4434db_44e1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e1,10.384556,78.751715,12514,(1) Jain Tirthankara image in Sighasana posture lying in bas-relief on a slab(2) Remains of the temple(3)Ganesa image; and(4) Nandi with inscriptions on the basement and the surrounding portions in the Karuppar hill,(1) Jain Tirthankara image in Sighasana posture lying in bas-relief on a slab(2) Remains of the temple(3)Ganesa image; and(4) Nandi with inscriptions on the basement and the surrounding portions in the Karuppar hill,Mylappatti,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN272.JPG,CHETN272,CHE_272
36,monuments2.fid-3f3c22b6_1667d4434db_44e2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e2,10.639976,78.813976,12515,Jain Tirthankara image,Jain Tirthankara image,Puliyur,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN282.JPG,CHETN282,CHE_282
37,monuments2.fid-3f3c22b6_1667d4434db_44e3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e3,10.469676,78.840849,12516,Jain image and the surrounding Temple site locally called Mottai Pillaiyarkoil,Jain image and the surrounding Temple site locally called Mottai Pillaiyarkoil,Puttambur,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN321.JPG,CHETN321,CHE_321
38,monuments2.fid-3f3c22b6_1667d4434db_44e4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e4,12.167688,79.468259,12517,Rock cut Pallava Temple,Rock cut Pallava Temple,Dalavanur,Villupuram,Tamil Nadu,Chennai Circle,CHETN360.JPG,CHETN360,CHE_360
39,monuments2.fid-3f3c22b6_1667d4434db_44e5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e5,11.4796,77.857958,12518,Fort and Temples on the hill,Fort and Temples on the hill,Chinnakavandanur,Salem,Tamil Nadu,Chennai Circle,CHETN372.JPG,CHETN372,CHE_372
40,monuments2.fid-3f3c22b6_1667d4434db_44e6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44e6,13.162683,80.198943,12519,Prehistoric settlement site-megalithic period,Prehistoric settlement site-megalithic period,Pulal,Tiruvallur,Tamil Nadu,Chennai Circle,CHETN141.JPG,CHETN141,CHE_141
